Salis,Regionas,Trukme,Kaina,Data,Reitingas,agentura,Keliones tipas
Turkija,Turkler,7,653,2024-06-04,5,Kelioniu panorama,poilsine
Turkija,Alanija,7,1105,Nenurodyta,5,Kelioniu panorama,poilsine
Turkija,Goynuk,7,1343,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Šarm El Šeichas,7,1010,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,791,Nenurodyta,4,Kelioniu panorama,poilsine
Egiptas,Naama bay,7,451,Nenurodyta,4,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,453,2024-03-13,4,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,707,Nenurodyta,5,Kelioniu panorama,poilsine
Ispanija,Puerto De La Cruz,7,1018,Nenurodyta,4,Kelioniu panorama,poilsine
Graikija,CRETE-LASSITHI,7,626,Nenurodyta,4,Kelioniu panorama,poilsine
Graikija,CRETE-LASSITHI,7,505,Nenurodyta,4,Kelioniu panorama,poilsine
Graikija,CRETE-HERAKLION,7,553,Nenurodyta,4,Kelioniu panorama,poilsine
Zanzibaras,Pongwe,8,927,2024-01-31,3,Kelioniu panorama,poilsine
Kenija,Mombasas,7,1099,2024-02-03,4,Kelioniu panorama,poilsine
Turkija,Belekas,7,1989,2024-04-06,5,Kelioniu panorama,poilsine
Turkija,Alanya,11,910,Nenurodyta,5,Kelioniu panorama,poilsine
Turkija,Avsallar,14,652,2024-03-23,5,Kelioniu panorama,poilsine
Graikija,Rodo sala,7,772,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,582,2024-03-06,4,Kelioniu panorama,poilsine
Turkija,Alanija,7,678,Nenurodyta,5,Kelioniu panorama,poilsine
Bulgarija,Golden Sands,7,914,Nenurodyta,4,Kelioniu panorama,poilsine
Turkija,Antalija,7,577,Nenurodyta,5,Kelioniu panorama,poilsine
Turkija,Antalija,7,465,Nenurodyta,5,Kelioniu panorama,poilsine
Tunisas,Enfidha,7,494,Nenurodyta,4,Kelioniu panorama,poilsine
Bulgarija,SUNNY BEACH,7,428,2024-06-01,4,Kelioniu panorama,poilsine
Bulgarija,SUNNY BEACH,7,383,2024-06-01,4,Kelioniu panorama,poilsine
Tailandas,Bankokas,13,1429,2024-03-05,4,Kelioniu panorama,poilsine
Turkija,Alanija,7,451,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,729,2024-01-31,5,Kelioniu panorama,poilsine
Egiptas,Šarm El Šeichas,7,610,Nenurodyta,5,Kelioniu panorama,poilsine
Turkija,Belekas,7,874,2024-04-17,5,Kelioniu panorama,poilsine
Turkija,Tekirova,7,723,2024-04-25,5,Kelioniu panorama,poilsine
Turkija,Antalija,7,558,2024-04-17,5,Kelioniu panorama,poilsine
Turkija,Alanya,7,609,2024-04-17,5,Kelioniu panorama,poilsine
Turkija,Alanija,7,689,2024-04-25,5,Kelioniu panorama,poilsine
Turkija,Sidė,7,681,2024-04-17,5,Kelioniu panorama,poilsine
Juodkalnija,IGALO,7,604,2024-05-16,4,Kelioniu panorama,poilsine
Jungtiniai Arabų Emyratai,Ras Al Khaimah,8,1567,2024-03-06,5,Kelioniu panorama,poilsine
Jungtiniai Arabų Emyratai,Dubajus,7,1324,2024-02-04,4,Kelioniu panorama,poilsine
Turkija,Alanija,7,571,Nenurodyta,5,Kelioniu panorama,poilsine
Juodkalnija,Tivat,7,824,Nenurodyta,4,Kelioniu panorama,poilsine
Graikija,Kreta,7,399,2024-08-31,3,Kelioniu panorama,poilsine
Turkija,Antalija,7,635,Nenurodyta,5,Kelioniu panorama,poilsine
Turkija,Alanija,8,610,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,659,2024-02-28,4,Kelioniu panorama,poilsine
Turkija,Okurcalar,7,530,2024-04-08,5,Kelioniu panorama,poilsine
Turkija,Belekas,7,536,Nenurodyta,4,Kelioniu panorama,poilsine
Kipras,Larnaka,7,495,2024-03-16,4,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,740,Nenurodyta,5,Kelioniu panorama,poilsine
Turkija,Kemeras,7,818,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,749,2024-02-28,5,Kelioniu panorama,poilsine
Turkija,Alanija,7,592,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,621,2024-02-21,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,514,2024-02-28,5,Kelioniu panorama,poilsine
Šri Lanka,.,10,1344,2024-02-28,4,Kelioniu panorama,poilsine
Bulgarija,SUNNY BEACH,7,825,2024-06-05,4,Kelioniu panorama,poilsine
Egiptas,Hurgada,8,745,2024-02-24,4,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,664,Nenurodyta,5,Kelioniu panorama,poilsine
Turkija,Alanija,7,601,2024-04-04,5,Kelioniu panorama,poilsine
Turkija,Antalija,7,482,2024-04-04,5,Kelioniu panorama,poilsine
Turkija,Sidė,7,614,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,577,2024-02-28,5,Kelioniu panorama,poilsine
Jungtiniai Arabų Emyratai,Ras Al Khaimah,8,1082,2024-02-07,5,Kelioniu panorama,poilsine
Šri Lanka,.,10,1060,2024-02-28,3,Kelioniu panorama,poilsine
Lenkija,Varšuva,1,172,2024-02-16,4,Kelioniu panorama,poilsine
Lenkija,Zakopanė,3,277,2024-03-08,3,Kelioniu panorama,poilsine
Tunisas,Hammamet,7,459,Nenurodyta,4,Kelioniu panorama,poilsine
Turkija,Kemeras,7,1041,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,731,2024-02-28,5,Kelioniu panorama,poilsine
Turkija,Sidė,7,596,2024-04-02,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,593,2024-02-28,4,Kelioniu panorama,poilsine
Jungtiniai Arabų Emyratai,DUBAI-CITY,8,888,2024-03-09,3,Kelioniu panorama,poilsine
Italija,AMALFI COAST,5,687,2024-05-14,3,Kelioniu panorama,poilsine
Turkija,Alanija,7,749,2024-04-29,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,5,497,Nenurodyta,5,Kelioniu panorama,poilsine
Turkija,Sidė,7,811,2024-04-11,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,678,2024-02-01,5,Kelioniu panorama,poilsine
Madeira,Funšalis,7,668,2024-02-12,4,Kelioniu panorama,poilsine
Jungtiniai Arabų Emyratai,AJMAN,8,975,2024-02-24,4,Kelioniu panorama,poilsine
Ispanija,Las Palmas (Kanarų salos),7,1559,2024-02-05,4,Kelioniu panorama,poilsine
Turkija,Kemeras,7,705,2024-04-02,5,Kelioniu panorama,poilsine
Jungtiniai Arabų Emyratai,Jumeirah,8,998,2024-03-13,4,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,618,2024-02-01,4,Kelioniu panorama,poilsine
Turkija,Okurcalar,7,605,2024-04-07,5,Kelioniu panorama,poilsine
Šri Lanka,.,11,1544,2024-03-14,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,824,Nenurodyta,5,Kelioniu panorama,poilsine
Jungtiniai Arabų Emyratai,DUBAI-JUMEIRAH,7,1231,2024-02-04,5,Kelioniu panorama,poilsine
Ispanija,Playa De Las Americas,7,1085,2024-02-23,4,Kelioniu panorama,poilsine
Portugalija,Madeira,7,1317,Nenurodyta,4,Kelioniu panorama,poilsine
Egiptas,Marsa Alamas,7,699,2024-02-17,4,Kelioniu panorama,poilsine
Turkija,Antalija,7,624,2024-04-11,4,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,589,2024-02-28,4,Kelioniu panorama,poilsine
Ispanija,Tenerifė,7,1263,2024-02-28,4,Kelioniu panorama,poilsine
Latvija,JURMALA INC,2,105,2024-02-16,4,Kelioniu panorama,poilsine
Turkija,Alanija,7,498,2024-04-18,5,Kelioniu panorama,poilsine
Jungtiniai Arabų Emyratai,Palm Jumeirah Island,8,2544,2024-01-31,5,Kelioniu panorama,poilsine
Turkija,Sidė,7,668,2024-04-07,5,Kelioniu panorama,poilsine
Turkija,Sidė,7,716,2024-04-07,5,Kelioniu panorama,poilsine
Turkija,Belekas,7,1909,2024-04-07,5,Kelioniu panorama,poilsine
Turkija,Antalija,7,604,2024-04-05,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,738,2024-02-20,4,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,672,2024-02-28,5,Kelioniu panorama,poilsine
Tenerifė,Puerto de la Krusas,7,1199,2024-02-21,5,Kelioniu panorama,poilsine
Tenerifė,Plaja de la Arena,7,1013,2024-02-21,3,Kelioniu panorama,poilsine
Jungtiniai Arabų Emyratai,Dubajus,8,1186,2024-02-24,5,Kelioniu panorama,poilsine
Jungtiniai Arabų Emyratai,Jumeirah,7,1509,2024-02-04,5,Kelioniu panorama,poilsine
Jungtiniai Arabų Emyratai,Dubajus,7,974,2024-02-04,4,Kelioniu panorama,poilsine
Indonezija,Balio sala,13,1879,2024-06-19,4,Kelioniu panorama,poilsine
Egiptas,Sahl Hasheesh,7,1006,Nenurodyta,5,Kelioniu panorama,poilsine
Turkija,Kemeras,7,713,Nenurodyta,5,Kelioniu panorama,poilsine
Turkija,Antalija,7,678,2024-04-02,5,Kelioniu panorama,poilsine
Graikija,Rodo sala,7,620,2024-05-01,4,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,554,2024-02-28,5,Kelioniu panorama,poilsine
Portugalija,Madeira,7,1004,Nenurodyta,4,Kelioniu panorama,poilsine
Indonezija,BALI-KUTA,13,1786,2024-02-19,4,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,589,2024-02-28,4,Kelioniu panorama,poilsine
Turkija,Sidė,7,543,Nenurodyta,5,Kelioniu panorama,poilsine
Jungtiniai Arabų Emyratai,Šardža,8,825,2024-02-21,4,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,476,2024-02-28,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,773,Nenurodyta,5,Kelioniu panorama,poilsine
Zanzibaras,Dongwe,8,1082,2024-02-02,5,Kelioniu panorama,poilsine
Turkija,Belekas,7,728,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,908,Nenurodyta,4,Kelioniu panorama,poilsine
Portugalija,Funšalis,7,646,2024-02-26,3,Kelioniu panorama,poilsine
Šri Lanka,.,11,1284,2024-03-14,5,Kelioniu panorama,poilsine
Jungtiniai Arabų Emyratai,ABU DHABI - CITY,8,1449,2024-02-01,5,Kelioniu panorama,poilsine
Graikija,Kreta,7,789,Nenurodyta,4,Kelioniu panorama,poilsine
Turkija,Kemeras,7,773,2024-04-12,5,Kelioniu panorama,poilsine
Turkija,Antalija,7,1229,Nenurodyta,5,Kelioniu panorama,poilsine
Turkija,Alanija,7,721,Nenurodyta,5,Kelioniu panorama,poilsine
Turkija,Alanija,7,667,Nenurodyta,5,Kelioniu panorama,poilsine
Turkija,Kemeras,7,870,Nenurodyta,5,Kelioniu panorama,poilsine
Portugalija,Madeira,7,891,Nenurodyta,4,Kelioniu panorama,poilsine
Turkija,Sidė,7,937,2024-04-11,5,Kelioniu panorama,poilsine
Austrija,Kaprun,7,999,Nenurodyta,4,Kelioniu panorama,poilsine
Austrija,Kaprun,7,926,Nenurodyta,1,Kelioniu panorama,poilsine
Šri Lanka,.,7,1077,2024-02-01,3,Kelioniu panorama,poilsine
Ispanija,Tenerifė,7,1008,Nenurodyta,3,Kelioniu panorama,poilsine
Portugalija,Madeira,7,782,Nenurodyta,3,Kelioniu panorama,poilsine
Madeira,Funšalis,7,696,2024-02-26,4,Kelioniu panorama,poilsine
Jungtiniai Arabų Emyratai,DUBAI-CITY,7,926,Nenurodyta,4,Kelioniu panorama,poilsine
Austrija,BAD GASTEIN,7,1497,Nenurodyta,4,Kelioniu panorama,poilsine
Turkija,Antalija,7,804,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,744,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,4,513,Nenurodyta,5,Kelioniu panorama,poilsine
Kuba,Havana,13,1885,2024-02-18,3,Kelioniu panorama,poilsine
Ispanija,TENERIFE SUR,7,873,Nenurodyta,3,Kelioniu panorama,poilsine
Albanija,Duresis,7,569,2024-05-30,4,Kelioniu panorama,poilsine
Turkija,Antalija,7,956,Nenurodyta,5,Kelioniu panorama,poilsine
Indonezija,Denpasaras,13,1769,2024-02-19,4,Kelioniu panorama,poilsine
Vietnamas,Ho Chi Minis,12,1435,2024-03-17,3,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,933,Nenurodyta,5,Kelioniu panorama,poilsine
Juodkalnija,Kumbor,7,701,Nenurodyta,4,Kelioniu panorama,poilsine
Graikija,RHODES-IALYSOS/RODOS,7,840,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,814,2024-02-17,5,Kelioniu panorama,poilsine
Turkija,Belekas,7,887,Nenurodyta,5,Kelioniu panorama,poilsine
Bulgarija,Burgasas,7,532,Nenurodyta,4,Kelioniu panorama,poilsine
Turkija,Alanija,7,499,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,902,Nenurodyta,5,Kelioniu panorama,poilsine
Jungtiniai Arabų Emyratai,Ras Al Khaimah,8,888,2024-01-31,5,Kelioniu panorama,poilsine
Ispanija,Barselona,7,652,2024-05-17,4,Kelioniu panorama,poilsine
Indonezija,Denpasaras,13,1665,2024-02-19,4,Kelioniu panorama,poilsine
Turkija,Alanija,7,681,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,10,931,2024-02-17,4,Kelioniu panorama,poilsine
Egiptas,Šarm El Šeichas,7,1128,2024-02-18,5,Kelioniu panorama,poilsine
Egiptas,Marsa Alamas,7,789,2024-02-17,4,Kelioniu panorama,poilsine
Albanija,Duresis,7,569,2024-06-06,4,Kelioniu panorama,poilsine
Ispanija,TENERIFE SUR,7,2011,Nenurodyta,5,Kelioniu panorama,poilsine
Juodkalnija,Budva,7,762,Nenurodyta,4,Kelioniu panorama,poilsine
Tunisas,Mahdija,7,704,Nenurodyta,5,Kelioniu panorama,poilsine
Jungtiniai Arabų Emyratai,DUBAI-CITY,7,847,Nenurodyta,3,Kelioniu panorama,poilsine
Jungtiniai Arabų Emyratai,DUBAI-PALM JUMEIRAH,7,1899,Nenurodyta,5,Kelioniu panorama,poilsine
Italija,CALABRIA (TYRRHENIAN COAST),7,806,Nenurodyta,4,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,605,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Šarm El Šeichas,7,852,Nenurodyta,5,Kelioniu panorama,poilsine
