,Salis,Miestas,Data,Keliones trukme,Kaina,Reitingas,Keliones tipas,Agentura
114,Tailandas,Puketas,2024-03-29,14,1789,4,egzotine,baltictours
115,Tailandas,Krabi,2024-03-29,14,2029,4,egzotine,baltictours
116,Šri Lanka,Ahungalla,2024-04-04,10,1875,5,egzotine,baltictours
117,Mauricijus,Trou D'eau Douce,2024-03-17,11,2479,3,egzotine,baltictours
118,Tailandas,Pataja,2024-02-27,13,1865,5,egzotine,baltictours
119,Tanzanija,Zanzibaras,2024-04-06,11,1499,3,egzotine,baltictours
120,Tailandas,Pataja,2024-02-27,13,1989,4,egzotine,baltictours
121,Tailandas,Puketas,2024-04-12,14,2525,4,egzotine,baltictours
122,Dominikos Respublika,Punta Kana,2024-03-10,12,2625,5,egzotine,baltictours
123,Šiaurės Mauricijus,Trou aux Biches,2024-03-31,11,2439,3,egzotine,baltictours
124,Kuba,Varaderas,2024-02-18,13,2015,4,egzotine,baltictours
125,Slovakija,Žemieji Tatrai,2024-02-14,4,429,0,pazintine,baltictours
126,+ Ekskursijos Helsinkyje,Laplandija,2024-02-14,4,559,0,pazintine,baltictours
127,"Sorento, Kapri Sala ir kt.",Italija,2024-04-20,3,699,3,pazintine,baltictours
128,Hurgada,Egiptas,2024-02-24,7,1445,5,pazintine,baltictours
129,Italija,Venecija,2024-02-07,4,489,0,pazintine,baltictours
130,"Agadyras, Rabatas ir kt.",Marokas,2024-03-12,11,1689,3,pazintine,baltictours
131,Danija,Bilundas,2024-02-11,2,579,3,pazintine,baltictours
132,Venecija,Italija,2024-06-15,3,693,3,pazintine,baltictours
